sample_id	tool	metric	value	unit	source_file
SRR1039512	star	Number of reads mapped to multiple loci	977976		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	% of reads mapped to multiple loci	3.60%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Number of reads mapped to too many loci	9561		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	% of reads mapped to too many loci	0.04%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Number of reads unmapped: too many mismatches	0		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	% of reads unmapped: too many mismatches	0.00%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Number of reads unmapped: too short	202726		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	% of reads unmapped: too short	0.75%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Number of reads unmapped: other	8103		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	% of reads unmapped: other	0.03%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	Number of chimeric reads	0		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039512	star	% of chimeric reads	0.00%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039512/SRR1039512.Log.final.out
SRR1039513	star	Started job on	Aug 09 23:24:15		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Started mapping on	Aug 09 23:24:37		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Finished on	Aug 09 23:25:54		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Mapping speed, Million of reads per hour	752.35		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Number of input reads	16091880		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Average input read length	125		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Uniquely mapped reads number	15391808		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Uniquely mapped reads %	95.65%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Average mapped length	125.56		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Number of splices: Total	6514439		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Number of splices: Annotated (sjdb)	6482371		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Number of splices: GT/AG	6458299		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Number of splices: GC/AG	43008		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Number of splices: AT/AC	4325		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Number of splices: Non-canonical	8807		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Mismatch rate per base, %	0.17%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Deletion rate per base	0.01%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Deletion average length	1.49		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Insertion rate per base	0.01%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Insertion average length	1.28		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Number of reads mapped to multiple loci	558756		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	% of reads mapped to multiple loci	3.47%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Number of reads mapped to too many loci	4793		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	% of reads mapped to too many loci	0.03%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Number of reads unmapped: too many mismatches	0		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	% of reads unmapped: too many mismatches	0.00%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Number of reads unmapped: too short	132691		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	% of reads unmapped: too short	0.82%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Number of reads unmapped: other	3832		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	% of reads unmapped: other	0.02%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	Number of chimeric reads	0		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039513	star	% of chimeric reads	0.00%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039513/SRR1039513.Log.final.out
SRR1039516	star	Started job on	Aug 09 23:27:04		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039516/SRR1039516.Log.final.out
SRR1039516	star	Started mapping on	Aug 09 23:27:28		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039516/SRR1039516.Log.final.out
SRR1039516	star	Finished on	Aug 09 23:29:37		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039516/SRR1039516.Log.final.out
SRR1039516	star	Mapping speed, Million of reads per hour	729.03		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039516/SRR1039516.Log.final.out
SRR1039516	star	Number of input reads	26123507		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039516/SRR1039516.Log.final.out
SRR1039516	star	Average input read length	125		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039516/SRR1039516.Log.final.out
