sample_id	tool	metric	value	unit	source_file
SRR1039517	fastp	after_filtering.q20_rate	0.979861		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	after_filtering.q30_rate	0.940591		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	after_filtering.read1_mean_length	62		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	after_filtering.read2_mean_length	62		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039517	fastp	after_filtering.gc_content	0.494674		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039517/SRR1039517.fastp.json
SRR1039520	fastp	before_filtering.total_reads	42551776		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	before_filtering.total_bases	2680761888		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	before_filtering.q20_bases	2588112284		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	before_filtering.q30_bases	2478521687		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	before_filtering.q20_rate	0.965439		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	before_filtering.q30_rate	0.924559		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	before_filtering.read1_mean_length	63		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	before_filtering.read2_mean_length	63		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	before_filtering.gc_content	0.497221		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	after_filtering.total_reads	40741692		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	after_filtering.total_bases	2564727244		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	after_filtering.q20_bases	2517270543		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	after_filtering.q30_bases	2417799038		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	after_filtering.q20_rate	0.981496		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	after_filtering.q30_rate	0.942712		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
SRR1039520	fastp	after_filtering.read1_mean_length	62		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039520/SRR1039520.fastp.json
